"id","ATTRIBUTE"
"167311","T045|T569"
"16735","H713"
"167358","B458|H905|H964|H996|R894|S237|S996|T045|T569|Y202|Y281|Y330"
"167379","B440|B536|Q768|S055|S197|T796|Y012|Y678"
"167380","S205|Y231"
"167384",NA
"167393","S205|T131|Y678"
"167395","B536|H941|T045"
"167406",NA
"16741","H732"
"16743","H732"
"167435","Q768|S996"
"167437",NA
"167444",NA
"167455","Q768|R894"
"167479",NA
"167483","T800|T850|T859"
"167484","S299|T859|X481"
"167486","S299|T800|X481"
"167487","T850|X481"
"167505",NA
"167507",NA
"167512","B440|S197|T045|T250|Y012|Y678"
"167514","S197|Y012"
"167515","S197|Y678"
"167550","S143"
"167556","S325"
"167560","B527|H877|H905|H964|H996|P193|Q748|R942|S055|S863|T603|T849|Y280"
"167561","B536|H646|H905|H941|H964|Q748|R921|S197|T603|Y012|Y678"
"167567","B527|H877|H996|S863"
"167574","Q768"
"167623","S299|S299|S299|T798|T798|T798|T800|T800|T800|T850|T850|T850|X814|X814|Y234|Y234"
"167655",NA
"167662","S296|S996|Y011|Y282|Y486"
"167677","H646|H941|S744|S991|S991|S996|Y679"
"167700",NA
"167718",NA
"167740","H905|H964|H964"
"167807","S205|T138|T138"
"167826","S991|Y260"
"16786","T029"
"167890","T138"
"167962","T250|T569"
"167978","Q768|R114|S960"
"167989","S996"
"168019","H713|Y330"
